old_path,new_path,category,tracked_in_git,reason,references_updated
CURRENT_RESULTS_INDEX.md,reports/prism/00_project/CURRENT_RESULTS_INDEX.md,00_project,True,project_legacy_index,yes
FINAL_BASELINE_HANDOFF.md,reports/prism/00_project/FINAL_BASELINE_HANDOFF.md,00_project,True,project_legacy_handoff,yes
FINAL_RESULTS_INDEX.md,reports/prism/00_project/FINAL_RESULTS_INDEX.md,00_project,True,project_legacy_index,yes
HANDOVER.md,reports/prism/00_project/HANDOVER.md,00_project,True,project_legacy_handoff,yes
P4HET_ALG1_PLACEMENT_ANALYSIS.md,reports/prism/02_placement/P4HET_ALG1_PLACEMENT_ANALYSIS.md,02_placement,False,placement,yes
P4HET_BAD_PLACEMENT_FORENSIC.md,reports/prism/02_placement/P4HET_BAD_PLACEMENT_FORENSIC.md,02_placement,False,placement,yes
P4HET_CAUSAL_ANALYSIS.md,reports/prism/01_initial_4het/P4HET_CAUSAL_ANALYSIS.md,01_initial_4het,False,initial_4het,yes
P4HET_COOLDOWN_DIAGNOSTIC.md,reports/prism/03_migration_diagnostics/P4HET_COOLDOWN_DIAGNOSTIC.md,03_migration_diagnostics,False,migration_diagnostics,yes
P4HET_ESTIMATOR_CORRECTION_REPORT.md,reports/prism/04_estimator_window/P4HET_ESTIMATOR_CORRECTION_REPORT.md,04_estimator_window,False,estimator_window,yes
P4HET_KVPR_PLACEMENT_QUALITY_ANALYSIS.md,reports/prism/02_placement/P4HET_KVPR_PLACEMENT_QUALITY_ANALYSIS.md,02_placement,False,placement,yes
P4HET_MIGRATION_LIFECYCLE_FAILURE_CONTAINMENT_REPORT.md,reports/prism/05_lifecycle_correctness/P4HET_MIGRATION_LIFECYCLE_FAILURE_CONTAINMENT_REPORT.md,05_lifecycle_correctness,False,lifecycle_correctness,yes
P4HET_MIGRATION_LIFECYCLE_STALL_FORENSIC.md,reports/prism/05_lifecycle_correctness/P4HET_MIGRATION_LIFECYCLE_STALL_FORENSIC.md,05_lifecycle_correctness,False,lifecycle_correctness,yes
P4HET_MIGRATION_ROLLBACK_CORRECTION_REPORT.md,reports/prism/05_lifecycle_correctness/P4HET_MIGRATION_ROLLBACK_CORRECTION_REPORT.md,05_lifecycle_correctness,False,lifecycle_correctness,yes
P4HET_MIGRATION_THRASH_ANALYSIS.md,reports/prism/03_migration_diagnostics/P4HET_MIGRATION_THRASH_ANALYSIS.md,03_migration_diagnostics,False,migration_diagnostics,yes
P4HET_OVERLAP_DIAGNOSTIC.md,reports/prism/03_migration_diagnostics/P4HET_OVERLAP_DIAGNOSTIC.md,03_migration_diagnostics,False,migration_diagnostics,yes
P4HET_PHASE2_ANALYSIS.md,reports/prism/01_initial_4het/P4HET_PHASE2_ANALYSIS.md,01_initial_4het,False,initial_4het,yes
P4HET_PLANNER_OSCILLATION_ANALYSIS.md,reports/prism/03_migration_diagnostics/P4HET_PLANNER_OSCILLATION_ANALYSIS.md,03_migration_diagnostics,False,migration_diagnostics,yes
P4HET_REPORT.md,reports/prism/01_initial_4het/P4HET_REPORT.md,01_initial_4het,True,initial_4het,yes
P4HET_SWAP_PATHOLOGY_BOUND.md,reports/prism/03_migration_diagnostics/P4HET_SWAP_PATHOLOGY_BOUND.md,03_migration_diagnostics,False,migration_diagnostics,yes
P4HET_WINDOW_CALIBRATION_REPORT.md,reports/prism/04_estimator_window/P4HET_WINDOW_CALIBRATION_REPORT.md,04_estimator_window,False,estimator_window,yes
RESUME_HERE.md,reports/prism/00_project/RESUME_HERE.md,00_project,True,project_legacy_resume,yes
RESUME_HERE_TP.md,reports/prism/00_project/RESUME_HERE_TP.md,00_project,True,project_legacy_resume,yes
VERSION_FEATURE_REGRESSION_MATRIX.md,reports/prism/00_project/VERSION_FEATURE_REGRESSION_MATRIX.md,00_project,False,project_reference,yes
