workload_type,rate,seed,prototype_path,final_path,prototype_sha256,final_sha256,MATCH,verification,prototype_requests,final_requests,models_match,slos_match,prototype_file_present,note
bursty,2,1,/workspace/prism-merge/exp/workloads/final-compare/bursty_r2_s1.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r2_s1.pkl,,,False,provenance-only,858,858,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
bursty,2,2,/workspace/prism-merge/exp/workloads/final-compare/bursty_r2_s2.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r2_s2.pkl,,,False,provenance-only,815,815,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
bursty,2,3,/workspace/prism-merge/exp/workloads/final-compare/bursty_r2_s3.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r2_s3.pkl,,,False,provenance-only,816,816,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
bursty,4,1,/workspace/prism-merge/exp/workloads/final-compare/bursty_r4_s1.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r4_s1.pkl,,,False,provenance-only,1736,1736,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
bursty,4,2,/workspace/prism-merge/exp/workloads/final-compare/bursty_r4_s2.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r4_s2.pkl,,,False,provenance-only,1705,1705,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
bursty,4,3,/workspace/prism-merge/exp/workloads/final-compare/bursty_r4_s3.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r4_s3.pkl,,,False,provenance-only,1677,1677,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
bursty,8,1,/workspace/prism-merge/exp/workloads/final-compare/bursty_r8_s1.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r8_s1.pkl,,,False,provenance-only,3387,3387,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
bursty,8,2,/workspace/prism-merge/exp/workloads/final-compare/bursty_r8_s2.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r8_s2.pkl,,,False,provenance-only,3365,3365,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
bursty,8,3,/workspace/prism-merge/exp/workloads/final-compare/bursty_r8_s3.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r8_s3.pkl,,,False,provenance-only,3372,3372,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
bursty,14,1,/workspace/prism-merge/exp/workloads/final-compare/bursty_r14_s1.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r14_s1.pkl,,,False,provenance-only,5978,5978,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
